parameter,location,time_s,C_base,C_minus20,C_plus20,C_secant_elasticity,T_base,T_minus20,T_plus20,T_rise_secant_elasticity_blank_if_rise_lt_0.05K
hm,axis,255,2.55,2.55,2.55,0.0,28.008613556025622,28.008601374905574,28.00862545527484,
hm,axis,256,2.55,2.55,2.55,0.0,28.008788940713625,28.00877648410624,28.008801108256502,
hm,axis,257,2.55,2.55,2.55,0.0,28.00896673947022,28.008954003039346,28.00897917950722,
hm,axis,258,2.55,2.55,2.55,0.0,28.009146966181728,28.009133945559142,28.00915968294392,
hm,axis,259,2.55,2.55,2.55,0.0,28.009329634594152,28.00931632537982,28.00934263234292,
hm,axis,260,2.55,2.55,2.55,0.0,28.009514758312605,28.009501156074826,28.009528041339472,
hm,axis,261,2.55,2.55,2.55,0.0,28.00970235079962,28.009688451075277,28.009715923425947,
hm,axis,262,2.55,2.55,2.55,0.0,28.009892425373984,28.009878223669126,28.00990629195071,
hm,axis,263,2.55,2.55,2.55,0.0,28.010084995210452,28.010070487000203,28.01009916011767,
hm,axis,264,2.55,2.55,2.55,0.0,28.010280073337785,28.010265254066713,28.010294540984788,
hm,axis,265,2.55,2.55,2.55,0.0,28.010477672638103,28.01046253772058,28.010492447462834,
hm,axis,266,2.55,2.55,2.55,0.0,28.010677805846683,28.010662350667065,28.01069289231561,
hm,axis,267,2.55,2.55,2.55,0.0,28.010880485550473,28.010864705463455,28.010895888158224,
hm,axis,268,2.55,2.55,2.55,0.0,28.01108572418751,28.011069614518387,28.01110144745664,
hm,axis,269,2.55,2.55,2.55,0.0,28.011293534046274,28.011277090091177,28.011309582527005,
hm,axis,270,2.55,2.55,2.55,0.0,28.011503927265125,28.01148714429142,28.011520305534972,
hm,axis,271,2.55,2.55,2.55,0.0,28.011716915831908,28.011699789078282,28.011733628495488,
hm,axis,272,2.55,2.55,2.55,0.0,28.01193251158315,28.0119150362601,28.011949563271887,
hm,axis,273,2.55,2.55,2.55,0.0,28.012150726204048,28.01213289749408,28.012168121575822,
hm,axis,274,2.55,2.55,2.55,0.0,28.012371571227803,28.012353384285706,28.012389314966768,
hm,axis,275,2.55,2.55,2.55,0.0,28.01259505803554,28.01257650798875,28.01261315485178,
hm,axis,276,2.55,2.55,2.55,0.0,28.01282119785654,28.0128022798052,28.012839652485706,
hm,axis,277,2.55,2.55,2.55,0.0,28.01305000176679,28.013030710784513,28.013068818969803,
hm,axis,278,2.55,2.55,2.55,0.0,28.01328148069031,28.013261811823792,28.013300665253517,
